Fecha y hora | Temperatura (°C)
-------------------------------
2025-05-17 10:28:55 | 53.4
Fecha y hora | Temperatura (°C)
-------------------------------
2025-06-01 14:10:43 | 60.0
2025-06-01 14:11:13 | 58.4
2025-06-01 14:11:43 | 58.9
2025-06-01 14:12:13 | 58.9
2025-06-01 14:12:43 | 59.5
2025-06-01 14:13:13 | 58.9
2025-06-01 14:13:43 | 58.4
2025-06-01 14:14:13 | 62.2
2025-06-01 14:14:43 | 58.9
2025-06-01 14:15:13 | 58.4
2025-06-01 14:15:43 | 59.5
2025-06-01 14:16:13 | 59.5
2025-06-01 14:16:43 | 58.9
2025-06-01 14:17:13 | 58.4
2025-06-01 14:17:43 | 60.0
2025-06-01 14:18:13 | 60.0
2025-06-01 14:18:43 | 58.9
2025-06-01 14:19:13 | 58.9
2025-06-01 14:19:43 | 58.4
2025-06-01 14:20:13 | 58.4
2025-06-01 14:20:43 | 58.9
2025-06-01 14:21:13 | 57.8
2025-06-01 14:21:43 | 57.8
2025-06-01 14:22:13 | 58.9
2025-06-01 14:22:43 | 56.7
2025-06-01 14:23:13 | 57.8
2025-06-01 14:23:43 | 57.3
2025-06-01 14:24:13 | 56.7
2025-06-01 14:24:43 | 57.8
2025-06-01 14:25:13 | 57.3
2025-06-01 14:25:43 | 57.3
2025-06-01 14:26:13 | 58.9
2025-06-01 14:26:43 | 57.8
2025-06-01 14:27:13 | 57.8
2025-06-01 14:27:43 | 57.8
2025-06-01 14:28:13 | 57.3
2025-06-01 14:28:43 | 57.8
2025-06-01 14:29:13 | 57.8
2025-06-01 14:29:43 | 57.8
2025-06-01 14:30:13 | 57.8
2025-06-01 14:30:43 | 57.8
2025-06-01 14:31:13 | 57.3
2025-06-01 14:31:43 | 58.4
2025-06-01 14:32:13 | 57.3
2025-06-01 14:32:43 | 58.4
2025-06-01 14:33:13 | 58.9
2025-06-01 14:33:43 | 58.9
2025-06-01 14:34:14 | 58.4
2025-06-01 14:34:44 | 58.9
2025-06-01 14:35:14 | 58.4
2025-06-01 14:35:44 | 58.9
2025-06-01 14:36:14 | 61.1
2025-06-01 14:36:44 | 58.9
2025-06-01 14:37:14 | 59.5
2025-06-01 14:37:44 | 58.9
2025-06-01 14:38:14 | 57.8
2025-06-01 14:38:44 | 59.5
2025-06-01 14:39:14 | 60.0
2025-06-01 14:39:44 | 58.4
2025-06-01 14:40:14 | 59.5
2025-06-01 14:40:44 | 60.0
2025-06-01 14:41:14 | 58.9
2025-06-01 14:41:44 | 60.0
2025-06-01 14:42:14 | 59.5
2025-06-01 14:42:44 | 60.6
2025-06-01 14:43:14 | 60.0
2025-06-01 14:43:44 | 60.0
2025-06-01 14:44:14 | 60.0
2025-06-01 14:44:44 | 59.5
2025-06-01 14:45:14 | 60.0
2025-06-01 14:45:44 | 60.0
2025-06-01 14:46:14 | 61.7
2025-06-01 14:46:44 | 58.9
2025-06-01 14:47:14 | 60.0
2025-06-01 14:47:44 | 59.5
2025-06-01 14:48:14 | 59.5
2025-06-01 14:48:44 | 60.0
2025-06-01 14:49:14 | 59.5
2025-06-01 14:49:44 | 58.9
2025-06-01 14:50:14 | 59.5
2025-06-01 14:50:44 | 59.5
2025-06-01 14:51:14 | 59.5
2025-06-01 14:51:44 | 60.0
2025-06-01 14:52:14 | 58.4
2025-06-01 14:52:44 | 58.9
2025-06-01 14:53:14 | 58.4
2025-06-01 14:53:44 | 60.6
2025-06-01 14:54:14 | 58.9
2025-06-01 14:54:44 | 58.9
2025-06-01 14:55:14 | 58.4
2025-06-01 14:55:44 | 58.9
2025-06-01 14:56:14 | 58.9
2025-06-01 14:56:44 | 59.5
2025-06-01 14:57:14 | 58.9
2025-06-01 14:57:44 | 58.4
2025-06-01 14:58:14 | 58.4
2025-06-01 14:58:44 | 58.9
2025-06-01 14:59:14 | 58.4
2025-06-01 14:59:44 | 58.9
2025-06-01 15:00:14 | 58.4
2025-06-01 15:00:44 | 59.5
2025-06-01 15:01:14 | 58.9
2025-06-01 15:01:44 | 58.4
2025-06-01 15:02:14 | 57.8
2025-06-01 15:02:44 | 58.4
2025-06-01 15:03:14 | 57.8
2025-06-01 15:03:44 | 58.4
2025-06-01 15:04:14 | 56.7
2025-06-01 15:04:44 | 59.5
2025-06-01 15:05:14 | 58.4
2025-06-01 15:05:44 | 58.9
2025-06-01 15:06:14 | 58.9
2025-06-01 15:06:44 | 58.9
2025-06-01 15:07:14 | 59.5
2025-06-01 15:07:44 | 59.5
2025-06-01 15:08:14 | 58.9
2025-06-01 15:08:44 | 59.5
2025-06-01 15:09:14 | 61.7
2025-06-01 15:09:44 | 61.1
2025-06-01 15:10:14 | 61.7
2025-06-01 15:10:44 | 63.9
2025-06-01 15:11:14 | 63.9
2025-06-01 15:11:44 | 63.3
2025-06-01 15:12:14 | 63.3
2025-06-01 15:12:44 | 63.9
2025-06-01 15:13:14 | 63.9
2025-06-01 15:13:44 | 64.4
2025-06-01 15:14:14 | 64.4
2025-06-01 15:14:44 | 63.9
2025-06-01 15:15:14 | 65.0
2025-06-01 15:15:44 | 66.1
2025-06-01 15:16:14 | 65.5
2025-06-01 15:16:44 | 65.5
